"","Number","Site","Date","SampleID","SampCode","Dry.Mass..mg.","Ashed.Mass..mg.","AFDM","X750umb","X649umb","X665umb","X632umb","X696umb","X750uma","X649uma","X665uma","X632uma","X696uma","ChlorophyllA_insample","Area_cm2","Subsample.Volume..mL.","Percent.of.Whole.Sample","SubsampleArea_cm2","ChlA_Area_Main","Chlorophyll_bcd_insample","Chla_Pheophytincorrected","Pheophhytin_inSample","Chl_all_area","ChlA_PhCor_area","Ph_area","X","ChlA_Area_Parsons84","Phaeophytin_Area_Parsons84","ChlA_Area_Marker1980","X.1","Comment"
"56",51,"Peterson",2018-11-09,"Peri_02","Peterson43413Peri_02",80.52,78.04,2.48,0.0028,0.068,0.008,0.0053,0.0037,0.0035,0.006,0.0071,0.005,0.0039,0.952,167.675,60,0.06,10.0605,"0.094627504",-2.0716,0.25596,1.45337,-0.205914219,0.025442075,0.144462999,NA,"0.026041449","0.11776522","0.005363054",NA,""
"57",50,"Peterson",2019-01-15,"Peri_04","Peterson43480Peri_04",77.2,76.13,1.07,0.001,0.0079,0.0128,0.0044,0.0016,0.002,0.007,0.0095,0.0037,0.0019,1.5232,115.521,60,0.06,6.93126,"0.219758024",1.31884,0.93852,1.94465,0.190274207,0.135403953,0.280562264,NA,"0.138593849","0.140693756","0.018682318",NA,""
"58",49,"Peterson",2019-01-15,"Peri_05","Peterson43480Peri_05",78.6,76.92,1.68,0.0016,0.005,0.0082,0.0035,0.002,0.0019,0.0046,0.0068,0.0027,0.0014,0.9758,83.134,105,0.105,8.72907,"0.111787395",0.83108,0.39816,1.39196,0.09520831,0.045613107,0.159462577,NA,"0.046687677","0.112050425","0.008653499",NA,""
"59",46,"Peterson",2019-04-05,"Peri_04","Peterson43560Peri_04",74.82,73.48,1.34,9e-04,0.0076,0.0117,0.004,0.0013,0.0015,0.0079,0.0117,0.0043,0.0015,1.3923,192.862,60,0.06,11.57172,"0.120319192",1.19119,0,2.39499,0.102939753,0,0.206969232,NA,"0","0.206028922","0.010568697",NA,""
"60",45,"Peterson",2019-04-05,"Peri_05","Peterson43560Peri_05",121.49,118.88,2.61,0.0018,0.0121,0.0206,0.0061,0.0021,0.0023,0.0125,0.0202,0.0064,0.0023,2.4514,185.595,60,0.06,11.1357,"0.220138833",2.15794,0.11376,4.13494,0.193785752,0.010215792,0.371322863,NA,"0.01045646","0.359179396","0.019703925",NA,""
"61",20,"Steep",2018-04-18,"Peri_01","Steep43208Peri_01",103.82,100.39,3.43,0.0022,0.023,0.0577,0.0157,0.0041,0.0022,0.023,0.0577,0.0156,0.0042,6.8663,258.28,60,0.06,15.4968,"0.443078571",6.56681,0,11.81119,0.423752646,0,0.762169609,NA,"0","0.758706894","0.042940801",NA,""
"62",19,"Steep",2018-04-18,"Peri_02","Steep43208Peri_02",85.15,81.71,3.44,0.003,0.0129,0.0192,0.0078,0.0038,0.0027,0.0126,0.0191,0.0076,0.0037,2.2848,202.298,75,0.075,15.17235,"0.150589724",1.90716,0.02844,3.90977,0.12569971,0.001874462,0.25769047,NA,"0.001918622","0.2546011","0.01303918",NA,""
"63",22,"Steep",2018-05-14,"Peri_02","Steep43234Peri_02",124.61,120,4.61,0.0104,0.0238,0.0457,0.0195,0.0124,0.002,0.0121,0.0293,0.0077,0.0029,5.4383,302.017,60,0.06,18.12102,"0.300110038",4.79371,4.66416,5.99771,0.264538641,0.257389485,0.330980817,NA,"0.263453161","0.066023932","0.028914653",NA,""
"64",21,"Steep",2018-05-14,"Peri_05","Steep43234Peri_05",105.94,102.46,3.48,0.0096,0.0175,0.031,0.0156,0.0118,0.0021,0.007,0.0155,0.0047,0.0029,3.689,204.833,110,0.11,22.53163,"0.163725394",3.13294,4.4082,3.17285,0.13904631,0.195644967,0.140817597,NA,"0.200254043","-0.060076213","0.01537887",NA,""
"65",23,"Steep",2018-06-11,"Peri_01","Steep43262Peri_01",97.65,94.96,2.69,0.0097,0.0251,0.0423,0.0181,0.0144,0.0019,0.0123,0.0219,0.0058,0.0023,5.0337,154.809,60,0.06,9.28854,"0.541925857",4.24745,5.80176,4.48293,0.457278539,0.624614848,0.482630209,NA,"0.639329755","-0.158892248","0.052149853",NA,""
